id.orig_p,id.resp_h,missed_bytes,resp_bytes,resp_pkts,id.resp_p,conn_state,orig_pkts,proto,id.orig_h,duration,orig_bytes,proto_enc,ai_label,ai_anomalie,ai_score
49919,10.1.17.2,0,572.0,7,49668,SF,9,tcp,10.1.17.215,14.185343980789185,948.0,1,NORMAL,False,0.01
49918,10.1.17.2,0,376.0,5,135,SF,7,tcp,10.1.17.215,14.187644004821776,328.0,1,NORMAL,False,0.0
49910,45.125.66.252,0,2529.0,70,443,RSTO,40,tcp,10.1.17.215,162.15476894378662,1442.0,1,ANOMALIE,True,0.705
64990,129.250.35.250,0,48.0,1,123,SF,1,udp,10.1.17.215,0.0539300441741943,48.0,2,NORMAL,False,0.0
64990,17.253.26.251,0,48.0,1,123,SF,1,udp,10.1.17.215,0.0782930850982666,48.0,2,NORMAL,False,0.0
64990,142.202.190.19,0,48.0,1,123,SF,1,udp,10.1.17.215,0.0789451599121093,48.0,2,NORMAL,False,0.0
64990,129.6.15.28,0,48.0,1,123,SF,1,udp,10.1.17.215,0.0837149620056152,48.0,2,NORMAL,False,0.0
64990,169.229.128.134,0,48.0,1,123,SF,1,udp,10.1.17.215,0.0938971042633056,48.0,2,NORMAL,False,0.0
64990,213.239.239.164,0,48.0,1,123,SF,1,udp,10.1.17.215,0.1722409725189209,48.0,2,NORMAL,False,0.0
64990,194.58.203.20,0,48.0,1,123,SF,1,udp,10.1.17.215,0.1733341217041015,48.0,2,NORMAL,False,0.0
64990,133.243.238.243,0,48.0,1,123,SF,1,udp,10.1.17.215,0.2090020179748535,48.0,2,NORMAL,False,0.0
57439,10.1.17.2,0,208.0,1,389,SF,1,udp,10.1.17.215,0.000511884689331,232.0,2,NORMAL,False,0.3492
3,10.1.17.2,0,0.0,0,3,OTH,2,icmp,10.1.17.215,1.109764814376831,391.0,0,ANOMALIE,True,0.84
51355,239.255.255.250,0,0.0,0,1900,S0,3,udp,10.1.17.215,6.019457817077637,411.0,2,NORMAL,False,0.1572
52149,10.1.17.2,0,208.0,1,389,SF,1,udp,10.1.17.215,0.0003390312194824,233.0,2,NORMAL,False,0.3492
5353,224.0.0.251,0,0.0,0,5353,S0,2,udp,10.1.17.215,0.9968700408935548,86.0,2,NORMAL,False,0.01
49921,23.41.241.15,0,95635.0,76,443,SF,42,tcp,10.1.17.215,109.5897901058197,1203.0,1,NORMAL,False,0.25
49920,20.241.44.114,0,6937.0,13,443,SF,15,tcp,10.1.17.215,110.00381398200987,911.0,1,NORMAL,False,0.18
49909,45.125.66.32,0,498677.0,401,2917,SF,192,tcp,10.1.17.215,4.38200306892395,2164.0,1,NORMAL,False,0.115
123,10.1.17.2,0,120.0,1,123,SF,1,udp,10.1.17.215,0.0018918514251708,120.0,2,NORMAL,False,0.0
137,10.1.17.255,0,0.0,0,137,S0,1,udp,10.1.17.215,0.0,0.0,2,ANOMALIE,True,0.9747
137,10.1.17.2,0,0.0,0,137,S0,1,udp,10.1.17.215,0.0,0.0,2,ANOMALIE,True,0.9747
138,10.1.17.255,0,0.0,0,138,S0,8,udp,10.1.17.215,9.040309190750122,1536.0,2,NORMAL,False,0.1175
49614,10.1.17.2,0,128.0,1,53,SF,2,udp,10.1.17.215,0.0591440200805664,68.0,2,NORMAL,False,0.0
56417,10.1.17.2,0,187.0,1,53,SF,2,udp,10.1.17.215,0.0427339076995849,64.0,2,NORMAL,False,0.035
49956,10.1.17.2,0,572.0,7,49668,SF,9,tcp,10.1.17.215,10.873827934265137,948.0,1,NORMAL,False,0.01
49955,10.1.17.2,0,376.0,5,135,SF,7,tcp,10.1.17.215,10.876410007476808,328.0,1,NORMAL,False,0.0
49960,13.107.246.57,0,7802.0,12,443,SF,12,tcp,10.1.17.215,0.154869794845581,563.0,1,NORMAL,False,0.0
49964,10.1.17.2,0,3692.0,8,389,RSTR,9,tcp,10.1.17.215,0.0060908794403076,2599.0,1,NORMAL,False,0.055
49963,10.1.17.2,0,3659.0,10,389,RSTR,11,tcp,10.1.17.215,0.016122817993164,3129.0,1,NORMAL,False,0.04
49961,10.1.17.2,0,644.0,4,135,RSTO,7,tcp,10.1.17.215,0.4744338989257812,496.0,1,NORMAL,False,0.0
49962,10.1.17.2,0,1869.0,10,49668,RSTO,13,tcp,10.1.17.215,0.4703488349914551,3797.0,1,NORMAL,False,0.0
49965,20.190.157.3,0,5160.0,10,443,RSTO,15,tcp,10.1.17.215,0.370323896408081,1041.0,1,NORMAL,False,0.03
61373,10.1.17.2,0,3710.0,35,53,SF,36,udp,10.1.17.215,251.84027099609372,1246.0,2,NORMAL,False,0.082
49966,20.44.239.154,0,4313.0,11,443,SF,13,tcp,10.1.17.215,1.497493028640747,1036.0,1,NORMAL,False,0.215
49967,20.44.239.154,0,4282.0,11,443,SF,13,tcp,10.1.17.215,1.4719059467315674,1044.0,1,NORMAL,False,0.215
53835,10.1.17.2,0,286.0,1,53,SF,2,udp,10.1.17.215,0.0412080287933349,86.0,2,NORMAL,False,0.0853
58468,10.1.17.2,0,185.0,1,53,SF,2,udp,10.1.17.215,0.0492920875549316,98.0,2,NORMAL,False,0.115
57979,10.1.17.2,0,373.0,2,53,SF,3,udp,10.1.17.215,4.404754877090454,149.0,2,NORMAL,False,0.0772
65498,10.1.17.2,0,162.0,1,53,SF,2,udp,10.1.17.215,0.0557990074157714,104.0,2,NORMAL,False,0.005
64657,10.1.17.2,0,574.0,5,53,SF,6,udp,10.1.17.215,19.094252824783325,264.0,2,NORMAL,False,0.1081
49950,45.125.66.32,0,498570.0,400,2917,SF,197,tcp,10.1.17.215,4.2909791469573975,1977.0,1,NORMAL,False,0.115
51355,239.255.255.250,0,0.0,0,1900,S0,3,udp,10.1.17.215,6.024074077606201,411.0,2,NORMAL,False,0.1572
49959,52.113.194.132,0,7727.0,13,443,SF,10,tcp,10.1.17.215,60.2700400352478,780.0,1,NORMAL,False,0.2
49958,23.212.73.35,0,95635.0,76,443,SF,43,tcp,10.1.17.215,109.5518319606781,1115.0,1,NORMAL,False,0.205
49957,20.125.63.4,0,6882.0,13,443,SF,14,tcp,10.1.17.215,110.03863310813904,880.0,1,NORMAL,False,0.18
5353,224.0.0.251,0,0.0,0,5353,S0,2,udp,10.1.17.215,1.0018739700317385,86.0,2,NORMAL,False,0.01
49968,52.175.242.182,0,3100.0,10,443,RSTR,11,tcp,10.1.17.215,127.55223107337952,1303.0,1,NORMAL,False,0.25
49969,23.41.240.115,0,7658.0,11,443,SF,10,tcp,10.1.17.215,158.848042011261,671.0,1,NORMAL,False,0.14
59407,10.1.17.2,0,2519.0,23,53,SF,24,udp,10.1.17.215,164.4335539340973,834.0,2,NORMAL,False,0.257
